loss now: tensor(1592.3550, grad_fn=<AddBackward0>)
loss now: tensor(1587.2815, grad_fn=<AddBackward0>)
loss now: tensor(1583.9355, grad_fn=<AddBackward0>)

Week 15 finished!

loss now: tensor(1616.0554, grad_fn=<AddBackward0>)
loss now: tensor(1613.5015, grad_fn=<AddBackward0>)
loss now: tensor(1610.4791, grad_fn=<AddBackward0>)
loss now: tensor(1606.3887, grad_fn=<AddBackward0>)
loss now: tensor(1602.3389, grad_fn=<AddBackward0>)
loss now: tensor(1598.7151, grad_fn=<AddBackward0>)
loss now: tensor(1595.6514, grad_fn=<AddBackward0>)
loss now: tensor(1592.3961, grad_fn=<AddBackward0>)
loss now: tensor(1589.3911, grad_fn=<AddBackward0>)
loss now: tensor(1586.5724, grad_fn=<AddBackward0>)
loss now: tensor(1584.6222, grad_fn=<AddBackward0>)
loss now: tensor(1584.8080, grad_fn=<AddBackward0>)
loss now: tensor(1587.3262, grad_fn=<AddBackward0>)
loss now: tensor(1590.8793, grad_fn=<AddBackward0>)
loss now: tensor(1592.0242, grad_fn=<AddBackward0>)
loss now: tensor(1588.2521, grad_fn=<AddBackward0>)
loss now: tensor(1581.7943, grad_fn=<AddBackward0>)
loss now: tensor(1573.7731, grad_fn=<AddBackward0>)
loss now: tensor(1566.5970, grad_fn=<AddBackward0>)
loss now: tensor(1561.1382, grad_fn=<AddBackward0>)

Week 16 finished!

loss now: tensor(1563.6836, grad_fn=<AddBackward0>)
loss now: tensor(1562.9604, grad_fn=<AddBackward0>)
loss now: tensor(1559.4248, grad_fn=<AddBackward0>)
loss now: tensor(1552.3948, grad_fn=<AddBackward0>)
loss now: tensor(1546.8065, grad_fn=<AddBackward0>)
loss now: tensor(1544.0477, grad_fn=<AddBackward0>)
loss now: tensor(1541.6871, grad_fn=<AddBackward0>)
loss now: tensor(1538.4268, grad_fn=<AddBackward0>)
loss now: tensor(1534.7086, grad_fn=<AddBackward0>)
loss now: tensor(1530.9554, grad_fn=<AddBackward0>)
loss now: tensor(1527.3042, grad_fn=<AddBackward0>)
loss now: tensor(1523.7263, grad_fn=<AddBackward0>)
loss now: tensor(1520.8177, grad_fn=<AddBackward0>)
loss now: tensor(1518.2119, grad_fn=<AddBackward0>)
loss now: tensor(1515.1384, grad_fn=<AddBackward0>)
loss now: tensor(1511.8093, grad_fn=<AddBackward0>)
loss now: tensor(1509.0317, grad_fn=<AddBackward0>)
loss now: tensor(1506.8505, grad_fn=<AddBackward0>)
loss now: tensor(1504.4796, grad_fn=<AddBackward0>)
loss now: tensor(1501.9622, grad_fn=<AddBackward0>)

Week 17 finished!

loss now: tensor(1512.7534, grad_fn=<AddBackward0>)
loss now: tensor(1510.8893, grad_fn=<AddBackward0>)
loss now: tensor(1510.6174, grad_fn=<AddBackward0>)
loss now: tensor(1510.3707, grad_fn=<AddBackward0>)
loss now: tensor(1510.2783, grad_fn=<AddBackward0>)
loss now: tensor(1508.4615, grad_fn=<AddBackward0>)
